Material Name,Material Code,Item Category,Item Group,UOM
0850641650 SPINDLE ASSEMBLY (KC),0850641650 SPINDLE ASSEMBLY (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0850650050 TEFLON SEAT BOTTOM(TAL 50)(KC),0850650050 TEFLON SEAT BOTTOM(TAL 50)(KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0850700150 TAL VALVE ASSEMBLY(KC),0850700150 TAL VALVE ASSEMBLY(KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0850702550 GLAND PACKING (KC),0850702550 GLAND PACKING (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0850749050 TEFLON RING TOP(TAL 70)(KC),0850749050 TEFLON RING TOP(TAL 70)(KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0850750050 TEFLON SEAT BOTTOM(TAL 70)(KC),0850750050 TEFLON SEAT BOTTOM(TAL 70)(KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0852802050 KC KIT GASKET/O RING/AL.PKG,0852802050 KC KIT GASKET/O RING/AL.PKG,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0852804050 KI SHAFT SEAL O RING (KC),0852804050 KI SHAFT SEAL O RING (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0852805050 KIT OIL PUMP GEAR (KC),0852805050 KIT OIL PUMP GEAR (KC),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
0943-EB1 PGE 1 LTR,0943-EB1 PGE 1 LTR,GENERAL,STORES AND SPARES-IND,NOS
0964-AB2 APEX 1 LTR,0964-AB2 APEX 1 LTR,GENERAL,STORES AND SPARES-IND,NOS
1 1/2 CPVC 45 BEND ASHIRVAD,1 1/2 CPVC 45 BEND ASHIRVAD,CIVIL,STORES AND SPARES-IND,NOS
1 1/2 CPVC PIPE 3 MTRS LONG ASHIRVAD,1 1/2 CPVC PIPE 3 MTRS LONG ASHIRVAD,CIVIL,STORES AND SPARES-IND,NOS
1 1/2 INCH GLOBE VALVE CL 150,1 1/2 INCH GLOBE VALVE CL 150,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
1 1/2 INCH GLOBE VALVE CL 150 (IBR),1 1/2 INCH GLOBE VALVE CL 150 (IBR),MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
1 1/4 INCH G.I CLAMP AND B.COVER,1 1/4 INCH G.I CLAMP AND B.COVER,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,Set
1 1/4 INCH SS BALL VALVES,1 1/4 INCH SS BALL VALVES,MECHANICAL - INDIGENOUS,STORES AND SPARES-IND,NOS
